序号,帖子标题,分类,置信度,关键词,作者
1938,[机战Y]直观地感受一下这代敌人的离谱命回,游戏,0.95,"机动战士高达, Y, 敌人的离谱命回, 爆种状态, 四割被弹",Haitanishinji
2330,[情书与13岁女演员]35话生肉&第七卷封面,动画/番剧,0.95,"13岁女演员, 文乃, 姬友, 占卜妹, 情书",wayne19980
2331,[新闻资讯] AniGame 1/7 <碧蓝航线> 阿黛尔 魔女的心跳魔法Ver.,手办/周边,0.95,"碧蓝航线, 阿黛尔, AniGame, 手办, 1/7",hcahcsroR
2332,那种有血统论的作品总会有战力痴配种,动画/番剧,0.95,"血统论, 战力, 赛博博孟德尔, 种族, 血统",铸造将军库比克
2336,[声优] 下屋则子: 我第一次见到高桥李依就知道这姑娘要火,动画/番剧,0.95,"下屋则子, 高桥李依, 81pro, 声优, Kirakira",呼啦圈呼啦圈巴莱
2337,[新番讨论][专楼][轻改]2025年10月新番《弹珠汽水瓶里的千岁同学》[两季度分割放送][施工中...,动画/番剧,0.95,弹珠汽水瓶里的千岁同学,ls51476
2338,谁家子供向动画(并非子供向)会在op放男主的性转啊,动画/番剧,0.95,"子供向, 男主, 性转",在下煤气
2339,《黑神话》里的钟馗是果，金銮殿上撞死的读书人才是因，聊聊这位捉鬼大神的根脚来历,漫画,0.95,"钟馗, 傩仪, 驱鬼, 神荼, 郁垒",那就原谅他
2340,机战Y 请问任务前面那个小箭头是什么意思？,动画/番剧,0.95,"机动战士高达, 小箭头",tuTuStream
2341,缘一当年那个凡尔赛发言，是不是至少说对了一半,动画/番剧,0.95,"缘一, 凡尔赛, 天赋",音速闪电
2314,最近两三年，厕纸番出续作的越来越多了,动画/番剧,0.95,"厕纸番, 被神捡到的男人, 圣女的魔力是万能的, 史莱姆盾勇, 无职素晴",群青的盛宴
2313,事实证明角色好看就是有优势啊,游戏,0.95,"死锁, 角色, 胜率, 选取率",寒霜落雪。。
2312,鬼灭之刃这么一个套路型作品，最反套路的就是岩柱竟然是最强的,动画/番剧,0.95,"鬼灭之刃, 岩柱, 大岩柱",倚剑笑紅尘
2311,just because氵想长文写写泉和夏目,动画/番剧,0.95,"just because, 夏目, 泉, 相马, 月色真美",柳树沟里
2285,[讨论] 现在海贼王的霸气版本更新到哪儿了？,动画/番剧,0.95,"海贼王, 霸气",virtule
2286,为什么总刷到这个樱花妹的照片？,动画/番剧,0.95,"樱花妹, mon_202509/02",年下萝莉控
2287,[新闻资讯] 万代拼装部26年春新品公开：超时空要塞，宝可梦系列等,手办/周边,0.95,"万代拼装部, 超时空要塞, 宝可梦系列, 钢普拉",hcahcsroR
2288,人类至上主义机器人,动画/番剧,0.95,"AI叛乱, 人类至上主义, 机器人, 等级制度, 仿生外皮",麦林Mognum
2290,男女比例巨大的世界观作品,漫画,0.95,"义！乌！, 伊達ろく, 1:5, 1:39, 1:5000",HomeV
2291,[新闻资讯] 30MF 罗萨巫师 官图更新,游戏,0.95,"30MF, 罗萨, 巫师, 罗萨术士, 罗萨附魔师",hcahcsroR
2292,原来哈撒维老早就出轨了,漫画,0.95,"哈撒维, 葵司, 眼镜妹, 琪琪, 布莱德",康康康kang
2293,鲨鱼玩偶服白枪呆,动画/番剧,0.95,"鲨鱼玩偶服, 白枪呆",丶夜鹰之梦丶
2294,V有没有属于自己的酒,动画/番剧,0.95,"夜之城, V, 太阳结局",mikufan221
2295,目前《凡人》的优点---人物表情变化表现,漫画,0.95,"凡人, 慕沛灵, 梅凝",日读一字
2296,催眠app续作，最新版本，汉语翻译精修了很多，似乎移除了等级上限使得能够进入结局,游戏,0.95,"催眠app, 等级上限, 结局",KumikoP1
2297,照进现实ing，键盘手网络宣布乐队解散，但其他成员不知道,游戏,0.95,"极乐净土, 丰川特酷, 长崎礼芽",王哈爷爷我的真爱
2300,[黄油归猴]有无脑死亡黄油推荐,游戏,0.95,"黄油归猴, 西西甜, 尼可, 爆衣",0Andl0
2304,(深夜贤者时间)大家看本子最喜欢那种竿役形象？,漫画,0.95,"无脸男, 黑肥肥, 黄毛肌肉男, 超级大调小男孩, 猥琐大叔",桃玲音音
2305,只狼的狼在论战的时候一般取的哪个强度,游戏,0.95,"只狼, 死神, 狼, 肉体, 楔丸",黑风寨声音很大
2306,看推上在吐槽机战Y世界线的飞鸟进种自剧情会出大bug,动画/番剧,0.95,"机战Y世界线, 飞鸟, 东方不败流, Foundation, 黑骑士",麦林Mognum
2308,死火海里面角色砸坑表现力上限是哪一段？,动画/番剧,0.95,"死火海, 角色砸坑, 表现力",爱民如子石天王
2309,机战是怎么越做拉的？,动画/番剧,0.95,"机动战士高达, 3α, Z1, OG系列, Z2",艾丝蒂尔Bright
2310,你们说时王要是放在现在播出，会不会很多人期待时王夺取令和骑士的历史啊？,动画/番剧,0.95,"时王, 夺取令和骑士",轻风cc二号机
2342,崇皇的表现力为什么这么这么的菜,动画/番剧,0.95,"崇皇, 异类电王, 异类时王, 乌尔, 斯沃鲁兹",1糯米糖果1
2343,有没有女角色后悔跟男主分手的恋爱动画，看她们悔恨的样子太美味了,动画/番剧,0.95,"重生了谁还谈恋爱, 绿茶女神",惡魔之傷
2344,找一个动漫,动画/番剧,0.95,"吸血鬼, 长刀, 仆从, 重生, 太刀",四光年之外去流浪
2372,[搬运] 枫 cv：本渡枫,动画/番剧,0.95,"本条枫, 梅普鲁, PV2, cv",牛牛福福
2375,武装色霸气和忍杀的空手道的描述挺像的,动画/番剧,0.95,"武装色霸气, 空手道, 忍杀",即食型派蒙
2377,[比烂氵]截止当前，令和骑士第三名究竟应该花落谁家呢？,动画/番剧,0.95,"令和骑士, 银币",scenion
2378,鲁路修和他的母亲,动画/番剧,0.95,"鲁路修, 母亲, 鲁路修和他的母亲",Just｜Monika
2379,关于对伏笔的定义，猎人家里放着一把枪到底算不算伏笔？,漫画,0.95,"猎人家里, 伏笔, 枪",知世就是力量z
2381,[新番讨论][专楼][漫改]2025年10月新番《对我垂涎欲滴的非人少女》[施工中],动画/番剧,0.95,对我垂涎欲滴的非人少女,ls51476
2382,有点好奇为什么现在国产动画片的编剧不用ai来辅助自己写作？,动画/番剧,0.95,"动画, 编剧, AI, 剧本",Diszativer
2384,夏日口袋最新一集,动画/番剧,0.95,"夏日口袋, 羽未, 循环",暴躁的小墨鱼
2385,[灌水] NG2水楼！！！(2021.06.04 关于近期ACGN无关贴泛滥的说明),动画/番剧,0.95,"ACGN, NG2, 水楼",杀日
2387,这次机战Y的盖塔在各位心目中如何？,动画/番剧,0.95,"机动战士高达, 盖塔, 龙马, 世界最后之日",牛牛福福
2388,吉良吉影 全剧终,动画/番剧,0.95,"吉良吉影, 四方十刃",HuniePoppuppy
2389,关于时王是不是拿到时王兔后，小魔王可以变逢魔啦？,动画/番剧,0.95,"时王, 时王兔, 小魔王, 三形态, 最终",蛋挞、、
2390,日月同错打到哪儿了,动画/番剧,0.95,"日月同错, 高皓光, 万业尸仙",darkmen0
2392,除开宫崎骏，在“纵向受众认可度”上做到最强的漫画家应该是荒木还是井上？或者还有别的人选,漫画,0.95,"荒木飞吕征, JO7, 井上雄三, 灌篮高手, 浪客行",sakmok-4号机
2393,看了评论以后感觉豪兽者缺个正常人吐槽役,动画/番剧,0.95,"豪兽者, 暴太郎, 鬼妹, 吐槽役, 反差",tzy502
2395,所以轨迹系列这算是独立出来了吗,动画/番剧,0.95,"轨迹系列, 英雄传说的, 空轨重置",doyun26
2396,防御意识很高的女孩子作者：@isiyumi,漫画,0.95,防御意识很高的女孩子,Just｜Monika
2398,[求助]为什么我写不出 那种好故事？,轻小说,0.95,"番茄, 起点, 浪浪山, 大笑江湖, 流星弯月刀",那就原谅他
2399,请问这个版是只能讨论ai作图吗？想问一点声音方面的问题,游戏,0.95,"RVC, GPTSoVITS, 游戏角色, 原声, ai翻唱",挽风肆月
2400,今天开始玩space马润泰日天咋这么没情商,游戏,0.95,"Space Marine, Dark Angels, 泰图斯 (Tezcatlipoca)",クオン久遠
2373,后疫情时代日本动画电影300馆以上低开画作品一览(暴死部又添一员大将),动画/番剧,0.95,"面包超人, 动画电影, 票房, 东映, 夏季特摄",Overtheworld1st
2371,[加布氵]加布算是更完了，能排到令和第几了,动画/番剧,0.95,"加布, 圣刃, 令和",繁星之愿
2345,[老剧氵]想求《我要成为双马尾》的轻小说,轻小说,0.95,"我要成为双马尾, 双马尾, 轻小说",迷茫的独行者
2369,《黄金神威》电影版续集公开,动画/番剧,0.95,"黄金神威, 电影",Overtheworld1st
2347,神椿市建设中 第8话nico好评率,动画/番剧,0.95,"神椿市, nico, mon_202509/01",雨光鼠
2348,欢迎来到笑容不断的职场，但是主角每一话都在哭,动画/番剧,0.95,"职场, 加班, 主角, 哭",浠特坶莱
2349,[声优氵]铃木达央 音乐活动再开,音乐/歌曲,0.95,"铃木达央, SHINKIRO&Co., OLDCODEX, Ta, 周刊文春",仟音一心
2351,《魔法少女育成计划restart》2026年开播,动画/番剧,0.95,"魔法少女育成计划, マルイノ, プフレ, シャドウゲール, ラピス?ラズリーヌ",SakaiShana
2352,真希波凭什么能开EVA？,动画/番剧,0.95,"真希波, EVA, 心之壁",驱逐蜥蜴定要先驰得点
2353,我也想娶千寻姐,动画/番剧,0.95,"千寻, 某某（推测是某部动画作品）",Just｜Monika
2354,是让花田绽放的魔法啊,游戏,0.95,"芙莉莲, 辛梅尔, 勇者, 花田",盐之尘
2355,[黄油氵]魔物娘td联动sequel系列,游戏,0.95,"魔物娘TD, SEQUEL, 联动, 角色演示, 太子你人呢",佳白
2356,没活硬整：秋元康VS AI秋元康,音乐/歌曲,0.95,"秋元康, AI, 20周年纪念单, OG, 投票",Overtheworld1st
2358,[破事氵]为什么二次元掏耳都是用棉签呢。,动画/番剧,0.95,"二次元, 掏耳, 耳屎",清姬_
2359,GARNiDELiA突然宣布无限期停止活动,音乐/歌曲,0.95,"GARNiDELiA, 极乐净土, 美依礼芽, 阿部尚徳, 巡演",林登万的梦想
2360,[王者天下氵]什么叫赵王迁当众强占李牧,游戏,0.95,"王者天下, 李牧",水平甲板
2361,[风都侦探]雾彦退场，进入最终决战篇了,动画/番剧,0.95,"风都侦探, 雾彦, 万灯",久远寺宅的草十郎
2362,[手办] 德皇婚纱皮 手心的朱砂痣,手办/周边,0.95,"德皇, 婚纱皮, 少前, 凯子",顾林鸢
2363,我发现罗贯中挺牛逼的，四大名著他占一个半。,游戏,0.95,"四大名著, 西游, 三国演义, 水浒传, 罗贯中",艾丝蒂尔Bright
2364,[学马仕氵]怎么还会有人跟自己的努努吵起来啊，是吧小秦,动画/番剧,0.95,"努努, 马仕",GoldenAlien
2365,水魔算不算机战近几作里的最废新参？,游戏,0.95,"机战, 水魔, 雀雀, 狸猫, 约拿",梅念笙1
2366,这算不算tag:天使的小窗,动画/番剧,0.95,天使的小窗,Just｜Monika
2367,[拼装]吐槽一下北美胶价,手办/周边,0.95,"自由2.0, 正义, mg, 胶价, 刀",努力，未来与希望
2284,上海空我的画师有没有下海账号啊？,动画/番剧,0.95,"上海空, 爆炒",轩师爷
2283,[拼装] 吉莱改造-机动战警吉莱斯巴达……,手办/周边,0.95,"机动战警, 吉雷斯巴达, 改造, 黑白配色, 双枪",DCT672
2282,宁次这角色被写死是真不应该,动画/番剧,0.95,"鸣人, 宁次, 火影",倚剑笑紅尘
2194,[Mygo] 爱音学生会长是初版残留设定吧,动画/番剧,0.95,"爱音, 学生会长",仙境独角兽
2196,ずっと真夜中でいいのに。2026年3月28号，上海演唱会,动画/番剧,0.95,"ずっと真夜中でいいのに。, 上海演唱会",林登万的梦想
2198,伊莉雅的新商品绘,手办/周边,0.95,"伊莉雅, 新商品",SakaiShana
2199,只看头，平成各最终哪个最丑哪个最帅？,动画/番剧,0.95,"平成最终, 骑士乱炖, kiva魔皇, 钻石法爷",1糯米糖果1
2200,所谓的媚眼如丝指的应该就是这种吧,动画/番剧,0.95,"yapo老师, 媚眼, 丝, 魅惑",Respecolt
2201,关于武神300后期的问题,动画/番剧,0.95,"武神, 300, 剧情",doctorsolve
2202,[火影氵]重温一下经典雄文宇智波佐助不是骗婚gay,动画/番剧,0.95,"火影, 佐助, 宇智波",黑土-四代目土影
2203,唐突出现的本地吉祥物.jpg(又名拔作岛第四集be like),动画/番剧,0.95,"拔作岛, 水着妹子, frilled umbrella, white umbrella, dark skin",GOJiong
2204,《龙与变色龙》这漫画真的全是表面功夫,漫画,0.95,"龙与变色龙, 漫画家, 投票, 漫画连载, 食梦者",九凰院铃音
2205,月蚀.御姐VER,动画/番剧,0.95,"月蚀, 御姐",丶夜鹰之梦丶
2206,看了just because 又失眠了,动画/番剧,0.95,"Just Because, 月色真美",柳树沟里
2207,脑洞学生会补到最新，不赖,漫画,0.95,"脑洞学生会, 魅魔, 会长, 老婆, 黑长直",Arajin
2208,[地错氵]查尔多：英雄一定要记得避孕！,动画/番剧,0.95,"查尔多, if",阿莱娅
2209,有什么海外作品的原创中国角色是非北上广港出身的吗，例如ow的西安人小美成都人无漾,动画/番剧,0.95,"OW, 西安人小美, 成都人无漾",南下北落师门
2210,[游戏归猴]你们做得到在临近结局时主动选择be路线吗？,游戏,0.95,"adv, be路线, 游戏选择",llao484
2211,怎么感觉铁也又微妙的被排挤了,游戏,0.95,"铁, 迈锡尼帝国, arc",renkan119
2216,吹笛人与魔界人,动画/番剧,0.95,"吹笛人, 魔界人",丶夜鹰之梦丶
2217,[拼装]果然不能对牢高的RG有什么期待值,手办/周边,0.95,"RG, 牢高, 刻线, 浮游炮",面包与奶油
2218,夏亚是不是快变成UC诸葛亮了,动画/番剧,0.95,"夏亚, 机战, gqx, if, 宇矛盾",╭老船长﹎
2220,妹你这缠着绑带怎么跑啊？,动画/番剧,0.95,"束缚赛跑, 绑带",反式D羟脯氨酸
2195,沉默魔女是怎么做到对魔法的展现这么一言难尽的,动画/番剧,0.95,"魔女, 魔法, 页游, 藤蔓, 风系法术",Horako
2193,七部hp里哈利的单挑能力处于什么水平,轻小说,0.95,"哈利波特, 伏地魔, 单挑",爱民如子石天王
2222,作品里怎么判断什么是契诃夫之枪什么是背景设定补充,漫画,0.95,"西游记, 北俱芦洲, 契诃夫之枪, 伏笔, 背景设定",LLF2019
2192,战队那边有没有什么歌曲像m87和promise一样特别点题的啊,音乐/歌曲,0.95,"m87, promise, 战队",装茶的罐子
2169,[技术交流]涂了个打印的风灵驾驶舱,手办/周边,0.95,"打印风, SHF, 玩具, 驾驶舱",爆裂战士铁蓝宝
2171,b站这些讲海贼王的up真是过得太爽了,动画/番剧,0.95,"海贼王, up",zyrzerotwo02
2172,忍者杀手第三部《不灭的忍者灵魂》的结局，这种故事结局真的很有魅力呢,动画/番剧,0.95,"忍者杀手, 不灭的忍者灵魂, 藤木户·健二, 武者, 超能力",王剑锋11
2173,想求问下壳之少女一些剧情,动画/番剧,0.95,"壳之少女, 冬子, 间宫父子, 人彘",相川陽滝
2175,[氵]传奇武器是不是只适用于冷兵器，像杀死希特勒的枪 杀死肯尼迪的枪之类的就感觉没朗基努斯枪 湖中剑...,游戏,0.95,"锤 (Hitman), 混沌 (Chaos), 神器, 爆弹枪, 动力甲",染血的学园
2176,太太这身材算微胖极品吗？,动画/番剧,0.95,"太太, 身材, 微胖, 极品, NGA",Just｜Monika
2178,简单来个兔女郎美少女的折纸教学,动画/番剧,0.95,"兔女郎, 折纸",Just｜Monika
2179,乌龟与兔子,动画/番剧,0.95,"乌龟与兔子, 兔子, 乌龟",SakaiShana
2180,[新闻资讯] threezero 1/6 <辐射> X-01学院动力装甲,手办/周边,0.95,"threezero, 辐射, X-01学院动力装甲, 1/6比例, 电子游戏",hcahcsroR
2182,[游戏王氵] 本月Zexal官方重播来到了名场面,动画/番剧,0.95,"游戏王, Zexal, 重播",天空霸
2183,鬼灭之刃无限城篇卡九，45日累计票房299.8亿,动画/番剧,0.95,"鬼灭之刃, 无限城篇, 票房, 日冠",Overtheworld1st
2184,just because氵吐槽一下，男女主本来要报考的大学也没差多远啊,动画/番剧,0.95,"青山学院, 泉, 夏目, 上智大学",柳树沟里
2185,[可动成品]男人也可以这么美丽吗,动画/番剧,0.95,"男人也可以这么美丽, 男角色, 美男",daqi1609283850
2186,[老登的无病呻吟]再次看到23333挂满屏幕真的令人唏嘘，感慨颇多,动画/番剧,0.95,"亮剑, 弹幕, 23333, 鬼子, 弹幕统计",GrafZeppelin
2187,优酱：我们之后要怎么办。。。,动画/番剧,0.95,"优酱, 我们之后",早赖尿邮箱
2188,鹤卷，我日你先人,动画/番剧,0.95,"机动战士高达, 玛秋, 高达, 黑泽, 拉拉",猛犸不下班
2189,[胡言乱语][慎点]看到鬼灭之后的联想。,动画/番剧,0.95,"鬼灭之刃, 继国兄弟, 周家, 迅哥儿",二号线复古风
2190,血族水，看板娘身材真的火爆吗？,动画/番剧,0.95,"血族, 露露缇雅, 爱欧",嚣张桐人
2191,名仓的爱鸭tv,动画/番剧,0.95,"名仓的爱鸭tv, 夏亚, 动画",“聯系者”申武龍
2221,看美女吃东西也是享受啊,动画/番剧,0.95,"美女, 吃东西, 动画",jhr234567
2224,[鬼滅氵] 以鬼的战斗力，能不能硬顶着191X年的军队乱杀？,动画/番剧,0.95,"鬼灭之刃, 无惨, 十二鬼月, 呼吸剑士, 正规军",碳烤章鱼321
2281,妇科圣手梓川咲太,动画/番剧,0.95,"梓川咲太, 妇科圣手",是谁的书画
2257,马督工居然看狂赌之渊,动画/番剧,0.95,"马督, 狂赌之渊",。轻舟已过万重山
2260,难绷，机战y黄润发没死东方不败没死，甚至蓝波斯菊也没死,动画/番剧,0.95,"机动战士高达, 东方不败, 蓝波斯菊",oftc3121
2261,因为后劲太大遂又一次重温苍穹的法芙娜之后，感想只有一个,动画/番剧,0.95,苍穹的法芙娜,juicetea
2263,来成为拳愿会企业家吧，随机签约斗技者，组建新兴企业,游戏,0.95,"拳愿会, 斗技者, 拳探, 企业",。轻舟已过万重山
2265,哥谭就是因为有了蝙蝠侠才更差！,漫画,0.95,"蝙蝠侠, 达米安韦恩, 哥谭",weavent
2266,MARiA是单飞了吗？无限期停止活动,动画/番剧,0.95,"MARiA, kill la kill",同田贯葛队
2267,沟槽的倒勾,手办/周边,0.95,"rg00r, 107改件",hyju135
2268,[技术交流]新手玩胶，随缘更新心路历程,手办/周边,0.95,"胶, 新手, 断腿, 小工具",填癣贩子
2269,[轨迹氵][剧透氵]不是，闪三这个结尾是人写出来的啊？,游戏,0.95,"闪耀暖暖, 安倍晴明, 皇宫, 奥瓜, 光剑",153interpreter
